,W,W Pts,L,L Pts,Hash
591,129,59,71,24,129059071024
592,2,30,57,6,2030057006
593,68,21,79,14,68021079014
594,108,27,15,20,108027015020
595,47,26,128,20,47026128020
596,75,45,27,20,75045027020
597,106,45,8,27,106045008027
598,89,31,118,13,89031118013
599,91,30,1,14,91030001014
600,117,41,92,7,117041092007
601,4,35,51,16,4035051016
602,5,42,116,10,5042116010
603,6,52,127,31,6052127031
604,7,30,64,0,7030064000
605,11,45,28,30,11045028030
606,12,49,82,28,12049082028
607,13,63,130,14,13063130014
608,113,53,93,7,113053093007
609,21,41,26,0,21041026000
610,22,28,37,0,22028037000
611,25,58,73,20,25058073020
612,29,34,110,6,29034110006
613,33,20,14,17,33020014017
614,34,40,72,20,34040072020
615,39,37,115,35,39037115035
616,40,38,111,28,40038111028
617,42,16,86,14,42016086014
618,52,30,74,17,52030074017
619,53,31,78,28,53031078028
620,55,23,112,18,55023112018
621,56,23,61,16,56023061016
622,58,31,96,20,58031096020
623,62,45,90,3,62045090003
624,67,35,30,34,67035030034
625,63,28,71,24,63028071024
626,65,51,120,0,65051120000
627,66,29,103,21,66029103021
628,76,17,31,14,76017031014
629,77,38,88,14,77038088014
630,80,42,43,27,80042043027
631,81,44,46,7,81044046007
632,83,30,50,27,83030050027
633,84,44,24,10,84044024010
634,87,30,100,7,87030100007
635,95,37,94,12,95037094012
636,99,38,19,17,99038019017
637,107,34,45,31,107034045031
638,114,38,97,20,114038097020
639,121,30,59,13,121030059013
640,125,6,122,3,125006122003
641,126,37,85,13,126037085013
642,123,45,119,7,123045119007
643,124,32,18,20,124032018020
644,129,26,44,24,129026044024
645,79,24,60,21,79024060021
646,54,23,105,17,54023105017
647,101,48,104,10,101048104010
648,1,27,25,24,1027025024
649,5,42,6,35,5042006035
650,11,41,15,24,11041015024
651,16,41,57,21,16041057021
652,113,16,96,0,113016096000
653,29,49,111,32,29049111032
654,40,35,93,9,40035093009
655,48,27,2,24,48027002024
656,66,21,7,14,66021007014
657,70,42,94,40,70042094040
658,71,37,44,34,71037044034
659,68,31,124,21,68031124021
660,99,31,114,10,99031114010
661,108,52,28,16,108052028016
662,122,24,121,20,122024121020
663,123,67,55,66,123067055066
664,3,55,10,44,3055010044
665,112,45,98,24,112045098024
666,4,45,41,28,4045041028
667,8,68,74,35,8068074035
668,12,48,107,46,12048107046
669,13,50,117,19,13050117019
670,14,28,100,7,14028100007
671,17,42,19,35,17042019035
672,21,14,102,6,21014102006
673,22,35,95,17,22035095017
674,27,41,125,21,27041125021
675,33,24,32,19,33024032019
676,34,28,39,21,34028039021
677,36,22,52,16,36022052016
678,38,30,35,24,38030035024
679,42,47,77,33,42047077033
680,43,23,88,16,43023088016
681,47,51,46,13,47051046013
682,51,42,109,23,51042109023
683,50,76,89,31,50076089031
684,53,44,49,40,53044049040
685,58,41,26,10,58041026010
686,62,34,86,10,62034086010
687,64,31,65,17,64031065017
688,72,49,115,27,72049115027
689,73,36,130,30,73036130030
690,69,35,75,7,69035075007
691,80,42,61,28,80042061028
692,83,31,30,28,83031030028
693,84,47,85,19,84047085019
694,87,35,59,23,87035059023
695,90,41,56,38,90041056038
696,91,38,92,7,91038092007
697,97,49,78,14,97049078014
698,103,24,120,17,103024120017
699,106,54,37,31,106054037031
700,118,24,67,21,118024067021
701,119,34,76,27,119034076027
702,116,38,24,34,116038024034
703,126,31,127,13,126031127013
704,128,37,45,24,128037045024
705,129,34,63,24,129034063024
706,113,32,29,30,113032029030
707,68,51,15,17,68051015017
708,68,51,15,17,68051015017
709,84,51,5,13,84051005013
710,3,42,66,13,3042066013
711,12,38,47,27,12038047027
712,13,28,34,14,13028034014
713,21,38,40,31,21038040031
714,33,37,38,35,33037038035
715,55,26,50,23,55026050023
716,80,59,129,0,80059129000
717,82,38,81,35,82038081035
718,93,27,26,20,93027026020
719,102,10,110,3,102010110003
720,101,55,45,3,101055045003
721,70,17,9,10,70017009010
722,1,38,124,24,1038124024
723,15,33,94,28,15033094028
724,51,16,72,3,51016072003
725,116,45,25,10,116045025010
726,117,21,118,6,117021118006
727,58,55,17,48,58055017048
728,55,52,68,23,55052068023
729,70,17,91,16,70017091016
730,89,30,34,6,89030034006
731,123,49,18,48,123049018048
732,50,35,42,18,50035042018
733,69,34,113,27,69034113027
734,90,40,75,21,90040075021
735,6,36,27,31,6036027031
736,86,31,14,30,86031014030
737,95,24,59,21,95024059021
738,97,45,71,42,97045071042
739,122,33,21,17,122033021017
740,7,31,104,7,7031104007
741,22,40,81,6,22040081006
742,105,45,128,37,105045128037
743,35,37,53,14,35037053014
744,78,31,54,28,78031054028
745,99,45,56,21,99045056021
746,13,38,5,30,13038005030
747,38,49,65,34,38049065034
748,101,42,64,3,101042064003
749,62,42,12,41,62042012041
750,66,33,63,17,66033063017
751,80,42,3,35,80042003035
752,84,59,33,20,84059033020
753,129,34,10,31,129034010031
754,40,35,87,34,40035087034
755,82,30,126,22,82030126022
756,103,45,44,28,103045044028
757,114,40,47,35,114040047035
758,32,28,29,20,32028029020
759,108,63,8,44,108063008044
760,80,42,84,20,80042084020
