,Hash,W,W Pts,L,L Pts,Line
446,67024112021,67,24,112,21,-3.5
447,119034111015,119,34,111,15,3.5
448,1042009028,1,42,9,28,-1.0
449,128030101027,128,30,101,27,11.5
450,35023032020,35,23,32,20,-3.5
451,5033019028,5,33,19,28,-14.5
452,33041059014,33,41,59,14,-21.0
453,129028044009,129,28,44,9,-9.0
454,62029061006,62,29,61,6,-4.0
455,80056088000,80,56,88,0,-31.0
456,63042043039,63,42,43,39,8.5
457,114045024023,114,45,24,23,-28.5
458,78038070034,78,38,70,34,-16.0
459,10035007017,10,35,7,17,-7.0
460,71027077024,71,27,77,24,-3.5
461,8017094016,8,17,94,16,3.0
462,117047039010,117,47,39,10,-24.0
463,92034115024,92,34,115,24,-5.0
464,51049074035,51,49,74,35,-32.0
465,106037041021,106,37,41,21,-11.0
466,75027069019,75,27,69,19,-5.5
467,104035046013,104,35,46,13,-26.5
468,30034110017,30,34,110,17,-3.0
469,82052107034,82,52,107,34,-1.0
470,29034031013,29,34,31,13,-27.0
471,34041072023,34,41,72,23,-21.0
472,95034065016,95,34,65,16,-11.5
473,13042025030,13,42,25,30,-7.0
474,91035073030,91,35,73,30,-14.0
475,16030079003,16,30,79,3,-4.5
476,15045060003,15,45,60,3,-24.0
477,11044018024,11,44,18,24,-20.0
478,12041081012,12,41,81,12,-17.0
479,51041109036,51,41,109,36,-14.0
480,99026084020,99,26,84,20,10.0
481,53031026010,53,31,26,10,-28.0
482,73045001037,73,45,1,37,-3.0
483,44038088014,44,38,88,14,-15.5
484,123021009017,123,21,9,17,-5.5
485,21028093025,21,28,93,25,-6.5
486,27038069020,27,38,69,20,-10.0
487,29058111024,29,58,111,24,-16.0
488,43052042035,43,52,42,35,-9.5
489,101021045017,101,21,45,17,-7.0
490,33059125003,33,59,125,3,-34.0
491,55056112014,55,56,112,14,-24.5
492,122042059024,122,42,59,24,4.5
493,63024086010,63,24,86,10,-3.0
494,100020056003,100,20,56,3,5.0
495,66048049017,66,48,49,17,-14.0
496,75045121014,75,45,121,14,-12.0
497,120034032017,120,34,32,17,11.5
498,28035124032,28,35,124,32,2.5
499,119010110007,119,10,110,7,-9.5
500,34048130010,34,48,130,10,-8.5
501,47049107026,47,49,107,26,2.5
502,129027017017,129,27,17,17,-8.5
503,64034007024,64,34,7,24,-16.5
504,25038072017,25,38,72,17,-8.5
505,126059024007,126,59,24,7,-28.0
506,104047128040,104,47,128,40,-5.0
507,6020116019,6,20,116,19,-7.0
508,71017061013,71,17,61,13,7.0
509,70042039028,70,42,39,28,-17.0
510,76041118007,76,41,118,7,-26.5
511,82042046006,82,42,46,6,-30.5
512,97062019028,97,62,19,28,-17.0
513,87028078021,87,28,78,21,3.5
514,105051065041,105,51,65,41,-18.5
515,14048074034,14,48,74,34,-25.0
516,117028115024,117,28,115,24,-15.5
517,67048031000,67,48,31,0,-19.5
518,8042052014,8,42,52,14,2.5
519,50036098013,50,36,98,13,-17.0
520,10055103023,10,55,103,23,-7.0
521,113019040014,113,19,40,14,-13.0
522,114031005026,114,31,5,26,2.0
523,3038054017,3,38,54,17,-10.5
524,91034092030,91,34,92,30,6.5
525,15049079000,15,49,79,0,-8.0
526,108051016041,108,51,16,41,-5.5
527,68048011027,68,48,11,27,-8.0
528,48024060006,48,24,60,6,-19.5
529,22055038031,22,55,38,31,-10.5
530,55045111034,55,45,111,34,-13.5
531,114041126031,114,41,126,31,-3.0
532,27048059030,27,48,59,30,3.5
533,129051043003,129,51,43,3,-27.0
534,120022049006,120,22,49,6,-11.0
535,53020040013,53,20,40,13,-16.5
536,18027124022,18,27,124,22,-3.0
537,56027122024,56,27,122,24,14.5
538,14038069021,14,38,69,21,-7.0
539,21052090017,21,52,90,17,0.0
540,75034087027,75,34,87,27,1.5
541,113039102036,113,39,102,36,-17.5
542,86045088021,86,45,88,21,-21.5
543,95019032014,95,19,32,14,-14.5
544,61027077019,61,27,77,19,3.0
545,33059100003,33,59,100,3,-37.5
546,30041098007,30,41,98,7,-17.5
547,2014057013,2,14,57,13,-6.5
548,29063112014,29,63,112,14,-28.0
549,93038026021,93,38,26,21,-16.0
550,46031128019,46,31,128,19,6.5
551,51035037021,51,35,37,21,-20.5
552,24041019024,24,41,19,24,-1.5
553,12063107034,12,63,107,34,-27.5
554,13048130007,13,48,130,7,-24.0
555,6030085017,6,30,85,17,-13.5
556,10043035038,10,43,35,38,-3.0
557,82038104013,82,38,104,13,-3.0
558,81048045010,81,48,45,10,-23.0
559,84044116021,84,44,116,21,-28.0
560,70042094014,70,42,94,14,-6.5
561,62041071028,62,41,71,28,-5.5
562,80060042035,80,60,42,35,-33.5
563,72038092016,72,38,92,16,7.0
564,3020065007,3,20,65,7,-22.5
565,97020099017,97,20,99,17,3.0
566,25066073042,25,66,73,42,-6.5
567,58023096010,58,23,96,10,-1.5
568,89052050014,89,52,50,14,-14.5
569,47033101031,47,33,101,31,-11.5
570,64051109021,64,51,109,21,-28.5
571,8038106021,8,38,106,21,-7.0
572,118033031010,118,33,31,10,-5.5
573,127024005017,127,24,5,17,10.5
574,91028039021,91,28,39,21,-5.0
575,16044060007,16,44,60,7,-24.0
576,48044079013,48,44,79,13,4.5
577,68035108017,68,35,108,17,0.0
578,113041090017,113,41,90,17,-19.5
579,89037112034,89,37,112,34,-17.0
580,115041001021,115,41,1,21,1.0
581,70058092052,70,58,92,52,1.5
582,71023086020,71,23,86,20,1.0
583,42020088016,42,20,88,16,-6.0
584,87017100016,87,17,100,16,0.0
585,26028102021,26,28,102,21,6.5
586,80042043014,80,42,43,14,-33.5
587,62030077006,62,30,77,6,-6.5
588,29042069028,29,42,69,28,-6.5
589,33080041014,33,80,41,14,-59.0
590,55048031010,55,48,31,10,-32.5
591,35059049017,35,59,49,17,-26.0
592,45034046000,45,34,46,0,-4.0
593,27028125021,27,28,125,21,-6.0
594,14029056026,14,29,56,26,-1.0
595,129020063007,129,20,63,7,-17.0
596,59045121026,59,45,121,26,-20.5
597,21024040017,21,24,40,17,2.0
598,53024058017,53,24,58,17,-22.5
599,120014103010,120,14,103,10,2.5
600,18037057000,18,37,57,0,-13.5
601,15058028007,15,58,28,7,-25.5
602,130059039056,130,59,39,56,-6.5
603,123037106007,123,37,106,7,-5.5
604,44024061021,44,24,61,21,-5.5
605,6038114033,6,38,114,33,-3.0
606,117013025000,117,13,25,0,-11.0
607,97047024029,97,47,24,29,-20.0
608,54034105010,54,34,105,10,-4.0
609,65024007017,65,24,7,17,-1.5
610,5042084016,5,42,84,16,18.0
611,110045118003,110,45,118,3,-15.5
612,99063019013,99,63,19,13,-32.0
613,119021076013,119,21,76,13,7.5
614,78023017013,78,23,17,13,-1.0
615,82049012017,82,49,12,17,8.0
616,67042098021,67,42,98,21,-22.5
617,8035037033,8,35,37,33,-24.0
618,126069085027,126,69,85,27,2.0
619,94036052014,94,36,52,14,-3.5
620,93016096006,93,16,96,6,-4.5
621,34069073028,34,69,73,28,-33.0
622,30055074010,30,55,74,10,-22.5
623,111024050014,111,24,50,14,-3.0
624,81041047031,81,41,47,31,5.0
625,66024064010,66,24,64,10,-2.0
626,127049116037,127,49,116,37,-2.0
627,91034013031,91,34,13,31,6.5
628,68033124014,68,33,124,14,-35.0
629,104041107016,104,41,107,16,-4.5
630,65017064010,65,17,64,10,3.0
631,44038071017,44,38,71,17,2.5
632,2031108029,2,31,108,29,11.0
633,11055060014,11,55,60,14,-35.0
634,18042028010,18,42,28,10,-17.5
635,79051057023,79,51,57,23,-19.5
636,55059029028,55,59,29,28,-3.0
637,15024016007,15,24,16,7,-3.5
638,54031007027,54,31,7,27,-28.0
639,109042106028,109,42,106,28,-8.5
640,30021031006,30,21,31,6,-27.5
641,113023096020,113,23,96,20,-26.0
642,92062034052,92,62,34,52,10.5
643,59041087031,59,41,87,31,-1.5
644,126027127017,126,27,127,17,-16.5
645,40034093000,40,34,93,0,-9.5
646,84036085035,84,36,85,35,-23.5
647,80042061041,80,42,61,41,-17.0
648,100034014031,100,34,14,31,2.5
649,56041069021,56,41,69,21,-3.0
650,120023125021,120,23,125,21,-14.5
651,27027075025,27,27,75,25,5.0
652,45052128044,45,52,128,44,7.5
653,77037042034,77,37,42,34,-3.5
654,43056088036,43,56,88,36,-20.5
655,26028090017,26,28,90,17,2.0
656,103027049014,103,27,49,14,-3.5
657,62014063003,62,14,63,3,-17.0
658,102041058021,102,41,58,21,8.0
659,98062112027,98,62,112,27,15.0
660,94038037017,94,38,37,17,-8.0
661,117035130007,117,35,130,7,-24.0
662,116024024017,116,24,24,17,-16.5
663,17028072023,17,28,72,23,-16.5
664,89017110013,89,17,110,13,-9.5
665,35041038034,35,41,38,34,-2.5
666,66028105021,66,28,105,21,-4.0
667,122016121006,122,16,121,6,-10.5
668,10034003028,10,34,3,28,10.0
669,13045073017,13,45,73,17,-36.0
670,12041101038,12,41,101,38,-14.5
671,33037032007,33,37,32,7,-28.0
672,25058001013,25,58,1,13,-17.0
673,47031046010,47,31,46,10,-18.0
674,86031129024,86,31,129,24,25.0
675,119030050010,119,30,50,10,-16.5
676,74024041016,74,24,41,16,-2.5
677,115045091019,115,45,91,19,4.5
678,123034008031,123,34,8,31,-6.0
679,76042111010,76,42,111,10,-4.0
680,52031051028,52,31,51,28,17.5
681,67048118017,67,48,118,17,-24.0
682,95031022017,95,31,22,17,-3.0
683,114035097014,114,35,97,14,4.5
684,99027078020,99,27,78,20,-16.5
685,6058005021,6,58,5,21,-11.0
686,39049009042,39,49,9,42,-6.5
687,53031021024,53,31,21,24,-3.0
688,15047068027,15,47,68,27,3.0
689,26045058010,26,45,58,10,1.5
690,90031096006,90,31,96,6,-3.5
691,12030104010,12,30,104,10,-16.0
692,94030051008,94,30,51,8,-3.0
693,113017093013,113,17,93,13,-13.5
694,81033082024,81,33,82,24,10.0
695,89041055024,89,41,55,24,6.5
696,10059066042,10,59,66,42,1.0
697,33045027007,33,45,27,7,-29.5
698,99038006014,99,38,6,14,3.5
699,62034080024,62,34,80,24,5.5
700,34024117017,34,24,117,17,-3.0
701,70034009007,70,34,9,7,-12.0
702,25048127045,25,48,127,45,4.0
